27-10-2023 14:40:20 DEBUG    [app.py:20] app.py running
27-10-2023 14:40:20 DEBUG    [app.py:24] Initialization Complete
27-10-2023 16:17:07 DEBUG    [app.py:20] app.py running
27-10-2023 16:17:21 DEBUG    [app.py:20] app.py running
27-10-2023 16:17:21 DEBUG    [app.py:24] Initialization Complete
27-10-2023 16:22:19 DEBUG    [app.py:20] app.py running
27-10-2023 16:22:19 DEBUG    [app.py:24] Initialization Complete
27-10-2023 16:28:04 DEBUG    [app.py:20] app.py running
27-10-2023 16:28:04 DEBUG    [app.py:24] Initialization Complete
27-10-2023 16:30:27 DEBUG    [app.py:20] app.py running
27-10-2023 16:48:23 DEBUG    [app.py:27] app.py running
27-10-2023 16:49:47 DEBUG    [app.py:27] app.py running
27-10-2023 16:50:47 DEBUG    [app.py:27] app.py running
27-10-2023 16:51:14 DEBUG    [app.py:27] app.py running
27-10-2023 16:51:23 DEBUG    [app.py:27] app.py running
27-10-2023 16:55:03 DEBUG    [app.py:27] app.py running
27-10-2023 17:23:55 DEBUG    [app.py:27] app.py running
27-10-2023 17:26:03 DEBUG    [app.py:27] app.py running
27-10-2023 17:26:03 DEBUG    [initialize_app.py:43] Initialization Complete
27-10-2023 20:23:22 DEBUG    [app.py:27] app.py running
27-10-2023 20:23:50 DEBUG    [app.py:27] app.py running
27-10-2023 20:26:31 DEBUG    [app.py:27] app.py running
27-10-2023 20:28:53 DEBUG    [app.py:27] app.py running
27-10-2023 20:29:01 DEBUG    [app.py:27] app.py running
27-10-2023 23:23:57 DEBUG    [app.py:25                  ] app.py running
27-10-2023 23:26:57 DEBUG    [app.py:25                  ] app.py running
27-10-2023 23:29:29 DEBUG    [app.py:25                  ] app.py running
27-10-2023 23:30:44 DEBUG    [app.py:25                  ] app.py running
27-10-2023 23:33:01 DEBUG    [app.py:25                  ] app.py running
27-10-2023 23:36:02 DEBUG    [app.py:25                  ] app.py running
27-10-2023 23:36:21 DEBUG    [app.py:24                  ] app.py running
27-10-2023 23:40:39 DEBUG    [app.py:25                  ] app.py running
27-10-2023 23:48:10 DEBUG    [app.py:25                  ] app.py running
27-10-2023 23:50:50 DEBUG    [app.py:25                  ] app.py running
27-10-2023 23:55:09 DEBUG    [app.py:25                  ] app.py running
27-10-2023 23:57:24 DEBUG    [app.py:25                  ] app.py running
28-10-2023 00:00:02 DEBUG    [app.py:25                  ] app.py running
28-10-2023 00:01:58 DEBUG    [app.py:25                  ] app.py running
28-10-2023 08:03:57 DEBUG    [app.py:18                  ] app.py running
28-10-2023 08:03:57 DEBUG    [menu.py:19                  ] Running Auth Menu
28-10-2023 08:04:37 DEBUG    [menu.py:141                 ] Running User Menu
28-10-2023 08:07:18 DEBUG    [menu.py:164                 ] Running Assign Menu
28-10-2023 08:07:18 DEBUG    [menu.py:56                  ] Running Super Admin Menu
28-10-2023 08:31:39 DEBUG    [app.py:18                  ] app.py running
28-10-2023 08:31:39 DEBUG    [menu.py:19                  ] Running Auth Menu
28-10-2023 08:32:05 DEBUG    [menu.py:141                 ] Running User Menu
28-10-2023 08:32:33 DEBUG    [menu.py:164                 ] Running Assign Menu
28-10-2023 08:32:33 DEBUG    [menu.py:141                 ] Running User Menu
28-10-2023 08:33:04 DEBUG    [menu.py:164                 ] Running Assign Menu
28-10-2023 08:33:04 DEBUG    [menu.py:56                  ] Running Super Admin Menu
